created,description,details,provenance,title,uri,id,place_id,name_type,language_tag,attested_form,romanized_form_1,romanized_form_2,romanized_form_3,association_certainty,transcription_accuracy,transcription_completeness,year_after_which,year_before_which
2026-01-20T18:19:52Z,,,Pleiades,I.6.4,https://pleiades.stoa.org/places/999909608/name.2015-06-30.0726557193,name.2015-06-30.0726557193,999909608,geographic,en,I.6.4,I.6.4,,,certain,accurate,complete,1700,2100
2026-03-20T21:19:59Z,,,Pleiades,tower of Vravrona,https://pleiades.stoa.org/places/999947807/tower-of-vravrona,tower-of-vravrona,999947807,geographic,en,tower of Vravrona,tower of Vravrona,,,certain,accurate,complete,2000,2099
2026-01-31T15:32:10Z,,,Pleiades,walls of Rusellae,https://pleiades.stoa.org/places/999951524/walls-of-rusellae,walls-of-rusellae,999951524,geographic,en,walls of Rusellae,walls of Rusellae,,,certain,accurate,complete,1900,2099
2026-01-31T15:33:50Z,,,Pleiades,Mura di Roselle,https://pleiades.stoa.org/places/999951524/mura-di-roselle,mura-di-roselle,999951524,geographic,it,Mura di Roselle,Mura di Roselle,,,certain,accurate,complete,1900,2099
2026-01-31T15:34:53Z,,,Pleiades,Stadtmauer von Roselle,https://pleiades.stoa.org/places/999951524/stadtmauer-von-roselle,stadtmauer-von-roselle,999951524,geographic,de,Stadtmauer von Roselle,Stadtmauer von Roselle,,,certain,accurate,complete,1900,2099
2025-11-19T20:28:35Z,,,Pleiades,Yibna Bridge,https://pleiades.stoa.org/places/99965183/yibna-bridge,yibna-bridge,99965183,geographic,en,Yibna Bridge,Yibna Bridge,,,certain,accurate,complete,2000,2099
2012-12-28T15:24:11Z,,,Pleiades,hypogaeum Scipionum,https://pleiades.stoa.org/places/999196280/hypogaeum-scipionum,hypogaeum-scipionum,999196280,geographic,la,hypogaeum Scipionum,hypogaeum Scipionum,,,certain,accurate,complete,-330,300
2012-12-28T15:24:50Z,,,Pleiades,sepolcro degli Scipioni,https://pleiades.stoa.org/places/999196280/sepolcro-degli-scipioni,sepolcro-degli-scipioni,999196280,geographic,it,sepolcro degli Scipioni ,sepolcro degli Scipioni,,,certain,accurate,complete,1700,2100
2012-12-28T15:28:00Z,,,Pleiades,tomb of the Scipios,https://pleiades.stoa.org/places/999196280/tomb-of-the-scipios,tomb-of-the-scipios,999196280,geographic,en,tomb of the Scipios,tomb of the Scipios,,,certain,accurate,complete,1700,2100
2025-11-19T20:29:19Z,Modern Hebrew name of the site.,,Pleiades,Tel Mor,https://pleiades.stoa.org/places/999180093/tel-mor,tel-mor,999180093,geographic,he,תל מור,Tel Mor,Tell Mor,,certain,accurate,complete,1900,2099
2018-10-12T11:30:29Z,"State of Wei, Three Kingdoms, 220CE-265CE, garrison commander; Western Jin dynasty, 265CE-316CE, commandery; Former Liang, 301CE-376CE, commandery; Northern Wei dynasty, 386CE-535CE; independent kingdom (enthroned Kan Bozhou 闞伯周 as king) Sui dynasty, 581CE-618CE, state; Tang dynasty, 618CE-907CE, district of Gaochang in the prefecture of 西州 Xizhou, and Anxi Frontier Command",,Pleiades,Gaochang,https://pleiades.stoa.org/places/999273476/gaochang,gaochang,999273476,geographic,en,Gaochang,Gaochang,,,certain,accurate,complete,2000,2099
2026-01-20T18:22:24Z,,,Pleiades,Statues of Harmodios and Aristogeiton,https://pleiades.stoa.org/places/999238742/statues-of-harmodios-and-aristogeiton,statues-of-harmodios-and-aristogeiton,999238742,associated_modern,en,Statues of Harmodios and Aristogeiton,Statues of Harmodios and Aristogeiton,,,certain,accurate,complete,,
2026-01-20T18:19:58Z,,,Pleiades,Harmódios kaì Aristogeítōn,https://pleiades.stoa.org/places/999238742/harmodios-kai-aristogeiton,harmodios-kai-aristogeiton,999238742,geographic,grc,Ἁρμόδιος καὶ Ἀριστογείτων,Harmódios kaì Aristogeítōn,,,certain,accurate,complete,-550,300
2026-01-20T18:21:32Z,,,Barrington Atlas: BAtlas 10 C4 Tubantes,Tubantes,https://pleiades.stoa.org/places/99047/tubantes,tubantes,99047,ethnic,la,,Tubantes,,,certain,accurate,complete,-30,640
2026-01-20T18:21:09Z,,,Pleiades,Toubantoi,https://pleiades.stoa.org/places/99047/toubantoi,toubantoi,99047,ethnic,grc,Τούβαντοι,Toubantoi,,,certain,accurate,complete,-30,300
2009-11-02T14:32:15Z,,,Barrington Atlas: BAtlas 10 B5 Mannaricium,Mannaricium,https://pleiades.stoa.org/places/99006/mannaricium,mannaricium,99006,geographic,,,Mannaricium,,,certain,accurate,complete,-30,300
2026-01-20T18:22:26Z,,,Barrington Atlas: BAtlas 10 G3 Reudigni,Reudigni,https://pleiades.stoa.org/places/99026/reudigni,reudigni,99026,ethnic,la,,Reudigni,,,certain,accurate,complete,-30,300
2009-11-02T14:32:53Z,,,Barrington Atlas: BAtlas 10 I2 (Ulme)Rugii,Ulmerugii,https://pleiades.stoa.org/places/99050/ulmerugii,ulmerugii,99050,geographic,,,Ulmerugii,,,certain,accurate,complete,-30,640
2026-01-20T18:19:30Z,,,Barrington Atlas: BAtlas 10 I2 (Ulme)Rugii,Rugii,https://pleiades.stoa.org/places/99050/rugii,rugii,99050,geographic,la,,Rugii,,,certain,accurate,complete,-30,640
2009-11-02T14:32:49Z,,,Barrington Atlas: BAtlas 10 B4 Traiectum,Traiectum,https://pleiades.stoa.org/places/99046/traiectum,traiectum,99046,geographic,,,Traiectum,,,certain,accurate,complete,-30,640
2012-05-25T22:16:40Z,Modern Name,,Regnum Francorum Online,Utrecht,https://pleiades.stoa.org/places/99046/utrecht,utrecht,99046,geographic,,,Utrecht,,,certain,accurate,complete,1700,2100
